          X         FI         DB       ALFA          C IRRIGATION PRODUCTION
 -.2000E-01  .1000E+01  .0000E+00  .0000E+00  .3227E+03  .0000E+00  .0000E+00
 -.2000E-01  .1000E+01  .0000E+00  .0000E+00  .3227E+03  .0000E+00  .0000E+00
 -.1857E-01  .1000E+01  .0000E+00  .0000E+00  .3212E+03  .0000E+00  .0000E+00
 -.1571E-01  .1000E+01  .0000E+00  .0000E+00  .3181E+03  .0000E+00  .0000E+00
 -.1286E-01  .1000E+01  .0000E+00  .0000E+00  .3151E+03  .0000E+00  .0000E+00
 -.1000E-01  .1000E+01  .0000E+00  .0000E+00  .3121E+03  .0000E+00  .0000E+00
 -.7143E-02  .1000E+01  .0000E+00  .0000E+00  .3090E+03  .0000E+00  .0000E+00
 -.4286E-02  .1000E+01  .0000E+00  .0000E+00  .3060E+03  .0000E+00  .0000E+00
 -.1429E-02  .1000E+01  .0000E+00  .0000E+00  .3030E+03  .0000E+00  .0000E+00
 -.2819E-17  .1000E+01  .0000E+00  .0000E+00  .3014E+03  .0000E+00  .0000E+00
 -.2819E-17  .1000E+01  .0000E+00  .0000E+00  .3014E+03  .0000E+00 -.4563E-01
  .1467E-02  .8000E+00  .0000E+00  .0000E+00  .2984E+03  .0000E+00 -.4563E-01
  .4402E-02  .8000E+00  .0000E+00  .0000E+00  .2924E+03  .0000E+00 -.4563E-01
  .7337E-02  .8000E+00  .0000E+00  .0000E+00  .2864E+03  .0000E+00 -.4563E-01
  .1027E-01  .8000E+00  .0000E+00  .0000E+00  .2805E+03  .0000E+00 -.4563E-01
  .1321E-01  .8000E+00  .0000E+00  .0000E+00  .2747E+03  .0000E+00 -.4563E-01
  .1614E-01  .8000E+00  .0000E+00  .0000E+00  .2690E+03  .0000E+00 -.4563E-01
  .1908E-01  .8000E+00  .0000E+00  .0000E+00  .2633E+03  .0000E+00 -.4563E-01
  .2201E-01  .8000E+00  .0000E+00  .0000E+00  .2576E+03  .0000E+00 -.4563E-01
  .2495E-01  .8000E+00  .0000E+00  .0000E+00  .2521E+03  .0000E+00 -.4563E-01
  .2788E-01  .8000E+00  .0000E+00  .0000E+00  .2466E+03  .0000E+00 -.4563E-01
  .3082E-01  .8000E+00  .0000E+00  .0000E+00  .2412E+03  .0000E+00 -.4563E-01
  .3375E-01  .8000E+00  .0000E+00  .0000E+00  .2358E+03  .0000E+00 -.4563E-01
  .3668E-01  .8000E+00  .0000E+00  .0000E+00  .2305E+03  .0000E+00 -.4563E-01
  .3962E-01  .8000E+00  .0000E+00  .0000E+00  .2253E+03  .0000E+00 -.4563E-01
  .4255E-01  .8000E+00  .0000E+00  .0000E+00  .2201E+03  .0000E+00 -.4563E-01
  .4549E-01  .8000E+00  .0000E+00  .0000E+00  .2150E+03  .0000E+00 -.4563E-01
  .4842E-01  .8000E+00  .0000E+00  .0000E+00  .2100E+03  .0000E+00 -.4563E-01
  .5136E-01  .8000E+00  .0000E+00  .0000E+00  .2050E+03  .0000E+00 -.4563E-01
  .5429E-01  .8000E+00  .0000E+00  .0000E+00  .2001E+03  .0000E+00 -.4563E-01
  .5723E-01  .8000E+00  .0000E+00  .0000E+00  .1953E+03  .0000E+00 -.4563E-01
  .6016E-01  .8000E+00  .0000E+00  .0000E+00  .1905E+03  .0000E+00 -.4563E-01
  .6310E-01  .8000E+00  .0000E+00  .0000E+00  .1858E+03  .0000E+00 -.4563E-01
  .6603E-01  .8000E+00  .0000E+00  .0000E+00  .1811E+03  .0000E+00 -.4563E-01
  .6750E-01  .8000E+00  .0000E+00  .0000E+00  .1789E+03  .0000E+00 -.4563E-01
  .6750E-01  .8000E+00  .0000E+00  .0000E+00  .1789E+03  .0000E+00 -.3701E-01
  .6897E-01  .8000E+00  .0000E+00  .0000E+00  .1766E+03  .0000E+00 -.3701E-01
  .7190E-01  .8000E+00  .0000E+00  .0000E+00  .1720E+03  .0000E+00 -.3701E-01
  .7484E-01  .8000E+00  .0000E+00  .0000E+00  .1676E+03  .0000E+00 -.3701E-01
  .7777E-01  .8000E+00  .0000E+00  .0000E+00  .1632E+03  .0000E+00 -.3701E-01
  .8071E-01  .8000E+00  .0000E+00  .0000E+00  .1588E+03  .0000E+00 -.3701E-01
  .8364E-01  .8000E+00  .0000E+00  .0000E+00  .1545E+03  .0000E+00 -.3701E-01
  .8658E-01  .8000E+00  .0000E+00  .0000E+00  .1502E+03  .0000E+00 -.3701E-01
  .8951E-01  .8000E+00  .0000E+00  .0000E+00  .1460E+03  .0000E+00 -.3701E-01
  .9245E-01  .8000E+00  .0000E+00  .0000E+00  .1419E+03  .0000E+00 -.3701E-01
  .9538E-01  .8000E+00  .0000E+00  .0000E+00  .1378E+03  .0000E+00 -.3701E-01
  .9832E-01  .8000E+00  .0000E+00  .0000E+00  .1337E+03  .0000E+00 -.3701E-01
  .1012E+00  .8000E+00  .0000E+00  .0000E+00  .1298E+03  .0000E+00 -.3701E-01
  .1042E+00  .8000E+00  .0000E+00  .0000E+00  .1258E+03  .0000E+00 -.3701E-01
  .1071E+00  .8000E+00  .0000E+00  .0000E+00  .1219E+03  .0000E+00 -.3701E-01
  .1101E+00  .8000E+00  .0000E+00  .0000E+00  .1181E+03  .0000E+00 -.3701E-01
  .1130E+00  .8000E+00  .0000E+00  .0000E+00  .1143E+03  .0000E+00 -.3701E-01
  .1159E+00  .8000E+00  .0000E+00  .0000E+00  .1106E+03  .0000E+00 -.3701E-01
  .1189E+00  .8000E+00  .0000E+00  .0000E+00  .1069E+03  .0000E+00 -.3701E-01
  .1218E+00  .8000E+00  .0000E+00  .0000E+00  .1033E+03  .0000E+00 -.3701E-01
  .1247E+00  .8000E+00  .0000E+00  .0000E+00  .9975E+02  .0000E+00 -.3701E-01
  .1277E+00  .8000E+00  .0000E+00  .0000E+00  .9624E+02  .0000E+00 -.3701E-01
  .1306E+00  .8000E+00  .0000E+00  .0000E+00  .9278E+02  .0000E+00 -.3701E-01
  .1335E+00  .8000E+00  .0000E+00  .0000E+00  .8938E+02  .0000E+00 -.3701E-01
  .1365E+00  .8000E+00  .0000E+00  .0000E+00  .8603E+02  .0000E+00 -.3701E-01
  .1394E+00  .8000E+00  .0000E+00  .0000E+00  .8273E+02  .0000E+00 -.3701E-01
  .1423E+00  .8000E+00  .0000E+00  .0000E+00  .7948E+02  .0000E+00 -.3701E-01
  .1453E+00  .8000E+00  .0000E+00  .0000E+00  .7629E+02  .0000E+00 -.3701E-01
  .1482E+00  .8000E+00  .0000E+00  .0000E+00  .7315E+02  .0000E+00 -.3701E-01
  .1511E+00  .8000E+00  .0000E+00  .0000E+00  .7007E+02  .0000E+00 -.3701E-01
  .1541E+00  .8000E+00  .0000E+00  .0000E+00  .6703E+02  .0000E+00 -.3701E-01
  .1570E+00  .8000E+00  .0000E+00  .0000E+00  .6406E+02  .0000E+00 -.3701E-01
  .1599E+00  .8000E+00  .0000E+00  .0000E+00  .6113E+02  .0000E+00 -.3701E-01
  .1629E+00  .8000E+00  .0000E+00  .0000E+00  .5826E+02  .0000E+00 -.3701E-01
  .1658E+00  .8000E+00  .0000E+00  .0000E+00  .5544E+02  .0000E+00 -.3701E-01
  .1687E+00  .8000E+00  .0000E+00  .0000E+00  .5267E+02  .0000E+00 -.3701E-01
  .1717E+00  .8000E+00  .0000E+00  .0000E+00  .4996E+02  .0000E+00 -.3701E-01
  .1746E+00  .8000E+00  .0000E+00  .0000E+00  .4730E+02  .0000E+00 -.3701E-01
  .1776E+00  .8000E+00  .0000E+00  .0000E+00  .4469E+02  .0000E+00 -.3701E-01
  .1805E+00  .8000E+00  .0000E+00  .0000E+00  .4214E+02  .0000E+00 -.3701E-01
  .1834E+00  .8000E+00  .0000E+00  .0000E+00  .3964E+02  .0000E+00 -.3701E-01
  .1864E+00  .8000E+00  .0000E+00  .0000E+00  .3719E+02  .0000E+00 -.3701E-01
  .1893E+00  .8000E+00  .0000E+00  .0000E+00  .3480E+02  .0000E+00 -.3701E-01
  .1922E+00  .8000E+00  .0000E+00  .0000E+00  .3246E+02  .0000E+00 -.3701E-01
  .1952E+00  .8000E+00  .0000E+00  .0000E+00  .3017E+02  .0000E+00 -.3701E-01
  .1981E+00  .8000E+00  .0000E+00  .0000E+00  .2794E+02  .0000E+00 -.3701E-01
  .2010E+00  .8000E+00  .0000E+00  .0000E+00  .2576E+02  .0000E+00 -.3701E-01
  .2025E+00  .8000E+00  .0000E+00  .0000E+00  .2469E+02  .0000E+00 -.3701E-01
  .2025E+00  .8000E+00  .0000E+00  .0000E+00  .2469E+02  .0000E+00 -.6434E-01
  .2040E+00  .8000E+00  .0000E+00  .0000E+00  .2363E+02  .0000E+00 -.6434E-01
  .2069E+00  .8000E+00  .0000E+00  .0000E+00  .2159E+02  .0000E+00 -.6434E-01
  .2098E+00  .8000E+00  .0000E+00  .0000E+00  .1965E+02  .0000E+00 -.6434E-01
  .2128E+00  .8000E+00  .0000E+00  .0000E+00  .1780E+02  .0000E+00 -.6434E-01
